City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
630,Cajamarca,-7.1638,-78.5003,54.63,83,100,2.51,PE,2021-01-18 01:16:36,moderate rain
631,Penzance,50.1186,-5.5371,44.01,87,75,6.91,GB,2021-01-18 01:16:36,broken clouds
632,Ongandjera,-17.8833,15.0667,72.91,50,100,11.74,NA,2021-01-18 01:16:36,overcast clouds
633,Catabola,-12.15,17.2833,63.55,88,100,4.9,AO,2021-01-18 01:16:36,overcast clouds
634,Fairview,40.8126,-73.999,44.01,49,90,4.61,US,2021-01-18 01:16:36,overcast clouds
635,Westport,41.1415,-73.3579,42.8,61,90,12.66,US,2021-01-18 01:16:36,overcast clouds
636,Khanpur,28.6453,70.6567,50.07,42,0,11.3,PK,2021-01-18 01:16:36,clear sky
637,Nyurba,63.2842,118.3319,-33.99,82,100,4.94,RU,2021-01-18 01:16:37,overcast clouds
638,Haliyal,15.3333,74.7667,62.6,67,0,4.03,IN,2021-01-18 01:16:37,clear sky
639,Isangel,-19.55,169.2667,86.0,79,75,3.6,VU,2021-01-18 01:16:37,broken clouds
640,Ambon,-3.6954,128.1814,77.0,94,40,4.61,ID,2021-01-18 01:16:37,scattered clouds
641,Deniliquin,-35.5333,144.9667,79.0,35,0,10.42,AU,2021-01-18 01:16:37,clear sky
642,Inhambane,-23.865,35.3833,77.94,90,96,8.63,MZ,2021-01-18 01:16:37,moderate rain
643,Rakke,58.9817,26.2544,18.0,98,83,5.5,EE,2021-01-18 01:16:37,broken clouds
644,Chara,56.9064,118.2631,-40.58,61,34,0.38,RU,2021-01-18 01:16:37,scattered clouds
645,Saint-Francois,46.4154,3.9054,36.0,93,90,2.3,FR,2021-01-18 01:16:37,overcast clouds
646,Devils Lake,48.1128,-98.8651,21.2,86,90,3.96,US,2021-01-18 01:16:37,overcast clouds
647,Barrhead,55.7992,-4.3929,44.6,87,75,18.41,GB,2021-01-18 01:16:38,light rain
648,Tanhacu,-14.0214,-41.2481,68.5,83,67,5.48,BR,2021-01-18 01:16:38,broken clouds
649,Hambantota,6.1241,81.1185,71.6,100,20,3.44,LK,2021-01-18 01:16:38,few clouds
650,Farsund,58.0948,6.8047,36.0,94,91,7.72,NO,2021-01-18 01:16:38,overcast clouds
651,Hobyo,5.3505,48.5268,75.33,79,0,13.06,SO,2021-01-18 01:16:38,clear sky
652,Cascais,38.6979,-9.4215,50.0,61,0,5.99,PT,2021-01-18 01:16:38,clear sky
653,Malandag,6.3094,125.2428,75.2,94,90,3.44,PH,2021-01-18 01:16:38,heavy intensity rain
654,Yatou,37.15,122.3833,30.15,87,0,15.9,CN,2021-01-18 01:16:38,clear sky
655,Filingue,14.3521,3.3168,71.11,22,98,7.14,NE,2021-01-18 01:16:39,overcast clouds
656,Mendi,-6.1761,143.6513,72.54,58,100,4.03,PG,2021-01-18 01:16:39,overcast clouds
657,Bandarbeyla,9.4942,50.8122,73.85,74,0,12.37,SO,2021-01-18 01:16:39,clear sky
658,Korsakov,46.6328,142.7813,5.0,78,75,13.42,RU,2021-01-18 01:16:39,snow
659,Kota Kinabalu,5.9749,116.0724,75.2,94,40,3.44,MY,2021-01-18 01:15:36,light rain
660,Lagunas,-5.2269,-75.6753,76.37,89,100,0.54,PE,2021-01-18 01:16:39,overcast clouds
661,Campos Gerais,-21.235,-45.7586,67.68,90,96,4.27,BR,2021-01-18 01:16:39,overcast clouds
662,Ulaanbaatar,47.9077,106.8832,-9.4,77,75,2.24,MN,2021-01-18 01:16:39,broken clouds
663,Roebourne,-20.7833,117.1333,94.8,43,13,10.74,AU,2021-01-18 01:16:39,few clouds
664,Eenhana,-17.4667,16.3333,80.6,50,98,13.8,NA,2021-01-18 01:16:40,overcast clouds
665,Baghdad,33.3406,44.4009,50.0,76,0,5.75,IQ,2021-01-18 01:15:18,clear sky
666,Caucaia,-3.7361,-38.6531,82.4,69,20,11.5,BR,2021-01-18 01:16:40,moderate rain
667,Victor Harbor,-35.5667,138.6167,68.0,83,98,3.0,AU,2021-01-18 01:16:40,overcast clouds
668,Itarema,-2.9248,-39.9167,80.19,77,100,12.15,BR,2021-01-18 01:16:40,overcast clouds
669,Carutapera,-1.195,-46.02,78.26,83,80,6.11,BR,2021-01-18 01:16:40,broken clouds
670,Macamic,48.7502,-78.9996,8.6,78,90,10.36,CA,2021-01-18 01:16:40,light snow
671,Shujaabad,29.8797,71.2931,46.4,81,90,9.22,PK,2021-01-18 01:16:40,mist
672,Katikati,-37.55,175.9167,73.99,50,4,18.99,NZ,2021-01-18 01:16:40,clear sky
673,Diffa,13.3154,12.6113,66.52,32,0,8.72,NE,2021-01-18 01:16:40,clear sky
674,Nuuk,64.1835,-51.7216,24.8,80,90,2.3,GL,2021-01-18 01:14:43,light snow
