City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Georgetown,MY,2021-01-15 03:09:50,5.4112,100.3354,84.2,74,20,6.91
68,Kirksville,US,2021-01-15 03:11:37,40.1948,-92.5833,33.8,80,90,12.66
69,Pisco,PE,2021-01-15 03:09:49,-13.7,-76.2167,69.8,78,0,10.36
70,Nador,MA,2021-01-15 03:10:39,35.174,-2.9287,50.0,81,0,1.14
71,Vaini,TO,2021-01-15 03:11:38,-21.2,-175.2,87.8,74,40,11.5
72,Kodiak,US,2021-01-15 03:11:38,57.79,-152.4072,39.2,87,90,23.02
73,Daugai,LT,2021-01-15 03:11:38,54.3667,24.3333,17.6,79,90,3.44
74,Nanortalik,GL,2021-01-15 03:11:38,60.1432,-45.2371,21.76,90,26,4.36
75,Faanui,PF,2021-01-15 03:11:38,-16.4833,-151.75,81.81,75,2,13.78
76,Bathsheba,BB,2021-01-15 03:11:38,13.2167,-59.5167,78.8,78,40,16.11
77,Vardo,NO,2021-01-15 03:11:38,70.3705,31.1107,33.57,88,100,12.24
78,Kemijarvi,FI,2021-01-15 03:11:38,66.7131,27.4306,7.25,95,100,2.19
79,Yellowknife,CA,2021-01-15 03:10:13,62.456,-114.3525,5.0,85,75,3.44
80,Lorengau,PG,2021-01-15 03:11:38,-2.0226,147.2712,86.34,64,59,9.84
81,Dingle,PH,2021-01-15 03:10:13,10.9995,122.6711,83.66,76,16,10.25
82,Upernavik,GL,2021-01-15 03:11:39,72.7868,-56.1549,16.23,96,100,4.85
83,Havre-Saint-Pierre,CA,2021-01-15 03:11:39,50.2334,-63.5986,26.6,93,90,2.3
84,Butaritari,KI,2021-01-15 03:11:39,3.0707,172.7902,80.85,77,100,20.24
85,Balaipungut,ID,2021-01-15 03:11:39,1.05,101.2833,80.6,74,40,10.36
86,Longyearbyen,SJ,2021-01-15 03:11:39,78.2186,15.6401,26.6,80,75,4.61
87,Oyama,JP,2021-01-15 03:11:39,36.3,139.8,46.0,70,75,8.05
